Symbol,Name,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,1986,n/a,n/a,https://old.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",1992,n/a,n/a,https://old.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,1988,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",n/a,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age
AIRI,Air Industries Group,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,2011,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams
USAS,Americas Gold and Silver Corporation,2017,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe
ANVS,"Annovis Bio, Inc.",2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs
ARMP,"Armata Pharmaceuticals, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp
AKG,Asanko Gold Inc.,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/akg
AINC,Ashford Inc.,2014,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc
AUG,Auryn Resources Inc.,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx
ASM,Avino Silver,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm
BTG,B2Gold Corp,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn
BCV,Bancroft Fund Limited,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/brn
BATL,Battalion Oil Corporation,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/batl
BIOX,Bioceres Crop Solutions Corp.,2018,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/biox
BIOX.WS,Bioceres Crop Solutions Corp.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/biox.ws
PHGE,BiomX Inc.,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/phge
PHGE.U,BiomX Inc.,2018,n/a,n/a,https://old.nasdaq.com/symbol/phge.u
PHGE.WS,BiomX Inc.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/phge.ws
BPMX,BioPharmX Corporation,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bpmx
BGI,Birks Group Inc.,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/bgi
BKTI,BK Technologies Corporation,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bkti
BDR,"Blonder Tongue Laboratories, Inc.",n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bdr
BRBS,"Blue Ridge Bankshares, Inc.",n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/brbs
BRG,"Bluerock Residential Growth REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^d
DMF,BNY Mellon Municipal Income Inc.,1988,n/a,n/a,https://old.nasdaq.com/symbol/dmf
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/bwl.a
BRMK.WS,Broadmark Realty Capital Inc.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brmk.ws
CMCL,Caledonia Mining Corporation Plc,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/canf
YCBD,"cbdMD, Inc.",2017,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd
YCBD^A,"cbdMD, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/ycbd^a
CVM,Cel-Sci Corporation,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm
CET,Central Securities Corporation,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu
CCF,Chase Corporation,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf
CQP,"Cheniere Energy Partners, LP",2007,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cphi
